collect_time,used_value
2021/6/2,115327633379536000.00
2021/6/3,115863163896950000.00
2021/6/4,116243339596461000.00
2021/6/5,116502117562746000.00
2021/6/6,116552611550059000.00
2021/6/7,117018804712739000.00
2021/6/8,115953587699196000.00
2021/6/9,115786729943043000.00
2021/6/10,116257211608113000.00
2021/6/11,116127843826118000.00
2021/6/12,116393292767277000.00
2021/6/13,116552893488024000.00
2021/6/14,116796518242023000.00
2021/6/15,116999220244874000.00
2021/6/16,116800260701192000.00
2021/6/17,117314250752645000.00
2021/6/18,117721814188654000.00
2021/6/19,118046388261229000.00
2021/6/20,118352148328491000.00
2021/6/21,118685588019337000.00
2021/6/22,125827217486925000.00
2021/6/23,120339796269859000.00
2021/6/24,121089617933610000.00
2021/6/25,122245946099391000.00
2021/6/26,122190496039542000.00
2021/6/27,122393754429171000.00
2021/6/28,122780120683055000.00
2021/6/29,123329672696411000.00
2021/6/30,124182781673960000.00
2021/7/1,124861521017282000.00
2021/7/2,125295290175666000.00
2021/7/3,125670239526182000.00
2021/7/4,125650445299911000.00
2021/7/5,124403870997446000.00
2021/7/6,119500823438079000.00
2021/7/7,120053541511112000.00
2021/7/8,120552344838405000.00
2021/7/9,120588282389025000.00
2021/7/10,120743029932861000.00
2021/7/11,121120911928326000.00
2021/7/12,121578521922765000.00
2021/7/13,122143457763752000.00
2021/7/14,123073280475096000.00
2021/7/15,123533180000868000.00
2021/7/16,124043277098247000.00
2021/7/17,123875553217898000.00
2021/7/18,124122473651272000.00
2021/7/19,124522435126040000.00
2021/7/20,124613116289808000.00
2021/7/21,125543548300651000.00
2021/7/22,126166514725885000.00
2021/7/23,126594097794158000.00
2021/7/24,126567876776454000.00
2021/7/25,126426011918095000.00
2021/7/26,126797780149175000.00
2021/7/27,126013380835103000.00
2021/7/28,126033800106645000.00
2021/7/29,126467842784359000.00
2021/7/30,126377858368738000.00
2021/7/31,126668351954015000.00
2021/8/1,127028275954948000.00
2021/8/2,127430934138331000.00
2021/8/3,128060500016071000.00
2021/8/4,128752454001565000.00
2021/8/5,129187139577767000.00
2021/8/6,128829274572530000.00
2021/8/7,128978210993052000.00
2021/8/8,129121505906306000.00
2021/8/9,129479348854671000.00
2021/8/10,130054385093655000.00
2021/8/11,130527629947529000.00
2021/8/12,131305226914369000.00
2021/8/13,130717599177490000.00
2021/8/14,130999693531224000.00
2021/8/15,131268350563762000.00
2021/8/16,131403741703594000.00
2021/8/17,131822668823206000.00
2021/8/18,132693477623450000.00
2021/8/19,133088216915223000.00
2021/8/20,132698994622090000.00
2021/8/21,132762335200721000.00
2021/8/22,132677546001474000.00
2021/8/23,133155751638015000.00
2021/8/24,133390157334460000.00
2021/8/25,134962449322358000.00
2021/8/26,134247679721663000.00
2021/8/27,134890761162973000.00
2021/8/28,134847829896956000.00
2021/8/29,136329509131142000.00
2021/8/30,137191144851528000.00
2021/8/31,135781303955929000.00
2021/9/1,136547061184982000.00
2021/9/2,137564368328727000.00
2021/9/3,137685634583236000.00
2021/9/4,137782501830941000.00
2021/9/5,136152016019731000.00
2021/9/6,137255019840001000.00
2021/9/7,141041654517751000.00
2021/9/8,143931883203561000.00
2021/9/9,138973107818766000.00
2021/9/10,139015695150554000.00
2021/9/11,139463225092058000.00
2021/9/12,138865532914535000.00
2021/9/13,139457750844942000.00
2021/9/14,139900563524540000.00
2021/9/15,137613982007871000.00
2021/9/16,136219006307828000.00
2021/9/17,137343457266871000.00
2021/9/18,136731488790116000.00
2021/9/19,136623667385805000.00
2021/9/20,136020435831936000.00
2021/9/21,135671061530351000.00
2021/9/22,135580014680639000.00
2021/9/23,138745921477941000.00
2021/9/24,137559337724619000.00
2021/9/25,136899416788358000.00
2021/9/26,138532157654681000.00
2021/9/27,137790949905545000.00
2021/9/28,139398243017707000.00
2021/9/29,139342435940634000.00
2021/9/30,141261122335065000.00
2021/10/1,138689654067972000.00
2021/10/2,138767693840225000.00
2021/10/3,139158722412853000.00
2021/10/4,139185894641182000.00
2021/10/5,139537393535008000.00
2021/10/6,139875004270825000.00
2021/10/7,140201142721941000.00
2021/10/8,141049759579967000.00
2021/10/9,142007483110780000.00
2021/10/10,141761712935800000.00
2021/10/11,147981387990123000.00
2021/10/12,148934787059473000.00
2021/10/13,143805512915220000.00
2021/10/14,143823901035333000.00
2021/10/15,144417885722935000.00
2021/10/16,144631307017857000.00
2021/10/17,144633500455151000.00
2021/10/18,145250346238274000.00
2021/10/19,146102131936203000.00
2021/10/20,147572481740154000.00
2021/10/21,147344649304010000.00
2021/10/22,147469717120088000.00
2021/10/23,147409372080917000.00
2021/10/24,147702909180377000.00
2021/10/25,148298225333101000.00
2021/10/26,148994996311051000.00
2021/10/27,149433118597320000.00
2021/10/28,150514797776540000.00
2021/10/29,151450635082331000.00
2021/10/30,150492254365976000.00
2021/10/31,150678806747855000.00
2021/11/1,152161017228424000.00
2021/11/2,152160019176395000.00
2021/11/3,152683854729841000.00
2021/11/4,153656367335637000.00
2021/11/5,153391714788229000.00
2021/11/6,153636694746744000.00
2021/11/7,153986979068087000.00
2021/11/8,154997318481348000.00
2021/11/9,155183634979995000.00
2021/11/10,155864367874277000.00
2021/11/11,156403885814895000.00
2021/11/12,157473110031954000.00
2021/11/13,157178793624503000.00
2021/11/14,157460385049205000.00
2021/11/15,158505215738228000.00
2021/11/16,159123743801309000.00
2021/11/17,161520221598081000.00
2021/11/18,161886216830570000.00
2021/11/19,161637634983432000.00
2021/11/20,160436911506747000.00
2021/11/21,160969741995790000.00
2021/11/22,162990799293792000.00
2021/11/23,163601892915503000.00
2021/11/24,164399051057467000.00
2021/11/25,163919699119801000.00
2021/11/26,164007983152510000.00
2021/11/27,164400610080540000.00
2021/11/28,164781447786244000.00
2021/11/29,165814838473700000.00
2021/11/30,166434518389816000.00
2021/12/1,166686641075853000.00
2021/12/2,167991322910478000.00
2021/12/3,169086606494709000.00
2021/12/4,168157460906728000.00
2021/12/5,168328908010652000.00
2021/12/6,169084422521356000.00
2021/12/7,170957248323399000.00
2021/12/8,170916119678355000.00
2021/12/9,172357379140839000.00
2021/12/10,172263762268454000.00
2021/12/11,171214326933432000.00
2021/12/12,171541848826244000.00
2021/12/13,172216510719206000.00
2021/12/14,172948681160733000.00
2021/12/15,175210570106385000.00
2021/12/16,174291739139846000.00
2021/12/17,172896410848061000.00
2021/12/18,172785262557613000.00
2021/12/19,172881343286856000.00
2021/12/20,173539587996323000.00
2021/12/21,173895564087499000.00
2021/12/22,172704432081434000.00
2021/12/23,173997995820860000.00
2021/12/24,173784255373201000.00
2021/12/25,172575927904896000.00
2021/12/26,172925990140461000.00
2021/12/27,173939794390981000.00
2021/12/28,174465396091230000.00
2021/12/29,175023478047914000.00
2021/12/30,175765120001166000.00
2021/12/31,176159509268469000.00
2022/1/1,176387972650253000.00
2022/1/2,176550596978426000.00
2022/1/3,176939648991615000.00
2022/1/4,177086861215792000.00
2022/1/5,177032928362381000.00
2022/1/6,175578936707859000.00
2022/1/7,175485168232609000.00
2022/1/8,175034370556681000.00
2022/1/9,173862019910111000.00
2022/1/10,174629257695914000.00
2022/1/11,176768097629985000.00
2022/1/12,176014527897425000.00
2022/1/13,176829805306236000.00
2022/1/14,177102091339055000.00
2022/1/15,176977541080739000.00
2022/1/16,176965993009455000.00
2022/1/17,177487927361004000.00
2022/1/18,178774023705670000.00
2022/1/19,180960103011850000.00
2022/1/20,181383741776704000.00
2022/1/21,181433302112926000.00
2022/1/22,181070513461814000.00
2022/1/23,179375345680515000.00
2022/1/24,179209416768632000.00
2022/1/25,172656448682392000.00
2022/1/26,172121790597296000.00
2022/1/27,170903073761804000.00
2022/1/28,171199591253661000.00
2022/1/29,169451078265231000.00
2022/1/30,169750290759698000.00
2022/1/31,169873243216885000.00
2022/2/1,170131888149815000.00
2022/2/2,170360292325721000.00
2022/2/3,170584285545042000.00
2022/2/4,170710414071750000.00
2022/2/5,170926408562884000.00
2022/2/6,171176600007881000.00
2022/2/7,170754176408170000.00
2022/2/8,169604614032551000.00
2022/2/9,170052133212423000.00
2022/2/10,170549898962305000.00
2022/2/11,171544703194247000.00
2022/2/12,171307897263869000.00
2022/2/13,171790987565336000.00
2022/2/14,172335093932086000.00
2022/2/15,172789555570352000.00
2022/2/16,173089204854295000.00
2022/2/17,174370026297238000.00
2022/2/18,174686343263510000.00
2022/2/19,173800499683974000.00
2022/2/20,174051764161618000.00
2022/2/21,174660136402021000.00
2022/2/22,175138458197558000.00
2022/2/23,176197635729476000.00
2022/2/24,178258455419644000.00
2022/2/25,177236128384365000.00
2022/2/26,177566140280451000.00
2022/2/27,177440665137004000.00
2022/2/28,179190395262238000.00
2022/3/1,180028017138728000.00
2022/3/2,178264254538053000.00
2022/3/3,178431745547163000.00
2022/3/4,178824062505111000.00
2022/3/5,179020025852523000.00
2022/3/6,179272836933059000.00
2022/3/7,179860163677484000.00
2022/3/8,181461727878594000.00
2022/3/9,181736549304888000.00
2022/3/10,181084524640411000.00
2022/3/11,182115394986214000.00
2022/3/12,181342061836435000.00
2022/3/13,181647255677322000.00
2022/3/14,182091141496519000.00
2022/3/15,183292738078105000.00
2022/3/16,184250719782462000.00
2022/3/17,183647253978369000.00
2022/3/18,183979177791992000.00
2022/3/19,184269971192334000.00
2022/3/20,184462929859137000.00
2022/3/21,184907106565131000.00
2022/3/22,185950232351856000.00
2022/3/23,185895009642722000.00
2022/3/24,187101361696230000.00
2022/3/25,187754959700864000.00
2022/3/26,186758292016533000.00
2022/3/27,187144881032491000.00
2022/3/28,189353281060727000.00
2022/3/29,188172566167804000.00
2022/3/30,188955320031983000.00
2022/3/31,189132996675915000.00
2022/4/1,189505400855940000.00
2022/4/2,190966055692387000.00
2022/4/3,190279918820146000.00
2022/4/4,190196681066305000.00
2022/4/5,190409842692117000.00
2022/4/6,191728653427707000.00
2022/4/7,193316119645886000.00
2022/4/8,192950411757975000.00
2022/4/9,191720197421275000.00
2022/4/10,192238290664951000.00
2022/4/11,193073313041472000.00
2022/4/12,194744369372906000.00
2022/4/13,194247453995412000.00
2022/4/14,194791643797725000.00
2022/4/15,195726163286235000.00
2022/4/16,196045461619666000.00
2022/4/17,196213981202373000.00
2022/4/18,197871571364978000.00
2022/4/19,197906839578154000.00
2022/4/20,198266767823620000.00
2022/4/21,199070074375907000.00
2022/4/22,200340347164553000.00
2022/4/23,200623282096579000.00
2022/4/24,200695102310532000.00
2022/4/25,201376973380879000.00
2022/4/26,201799762930022000.00
2022/4/27,203450420262101000.00
2022/4/28,202792685371513000.00
2022/4/29,205438150875979000.00
2022/4/30,203819783758808000.00
2022/5/1,205479170503340000.00
2022/5/2,204884554216844000.00
2022/5/3,206653546835312000.00
2022/5/4,206049532598085000.00
2022/5/5,207620517309597000.00
2022/5/6,207915379355820000.00
2022/5/7,207961753259471000.00
2022/5/8,209331232906042000.00
2022/5/9,209056182415195000.00
2022/5/10,209779755838324000.00
2022/5/11,211582549843358000.00
2022/5/12,212400657885916000.00
2022/5/13,212606538885316000.00
2022/5/14,212289903463594000.00
2022/5/15,212890717101131000.00
2022/5/16,214731298272511000.00
2022/5/17,215979735633819000.00
2022/5/18,215569288020465000.00
2022/5/19,216674079175920000.00
2022/5/20,219066552200025000.00
2022/5/21,220127949139409000.00
2022/5/22,217367303727295000.00
2022/5/23,218615400827473000.00
2022/5/24,219041492378670000.00
2022/5/25,220594475823411000.00
2022/5/26,223914529855920000.00
2022/5/27,222864768249990000.00
2022/5/28,222064298318374000.00
2022/5/29,223455217481372000.00
2022/5/30,226895197623330000.00
2022/5/31,226234756053600000.00
2022/6/1,223934519670346000.00
2022/6/2,225435247145700000.00
2022/6/3,224999053239575000.00
2022/6/4,225679552486827000.00
2022/6/5,226540277510467000.00
2022/6/6,224621531246483000.00
2022/6/7,225180913239028000.00
2022/6/8,225330155893652000.00
2022/6/9,226060793774501000.00
2022/6/10,226881413111853000.00
2022/6/11,226390201985518000.00
2022/6/12,226775389702842000.00
2022/6/13,227965918347659000.00
2022/6/14,227746613410943000.00
2022/6/15,227975230491301000.00
2022/6/16,232221561958466000.00
2022/6/17,229069295296407000.00
2022/6/18,230605259398685000.00
2022/6/19,230021008909159000.00
2022/6/20,231095449367036000.00
2022/6/21,231576801157054000.00
2022/6/22,234405680936560000.00
2022/6/23,233625370765708000.00
2022/6/24,235492534348867000.00
2022/6/25,233012826840152000.00
2022/6/26,233641420191714000.00
2022/6/27,234599989689803000.00
2022/6/28,235250444657211000.00
2022/6/29,236786877962893000.00
2022/6/30,237929291313405000.00
2022/7/1,237458473320452000.00
2022/7/2,238124345378306000.00
2022/7/3,238679506928859000.00
2022/7/4,241439196696732000.00
2022/7/5,235381936136213000.00
2022/7/6,237086359817636000.00
2022/7/7,237780036589033000.00
2022/7/8,237408509652878000.00
2022/7/9,239094347342338000.00
2022/7/10,238305785727373000.00
2022/7/11,239824561951503000.00
2022/7/12,239482229751232000.00
2022/7/13,241562178402014000.00
2022/7/14,236496324824994000.00
2022/7/15,238433380286973000.00
2022/7/16,236607605209112000.00
2022/7/17,236717216523482000.00
2022/7/18,237496706466712000.00
2022/7/19,237257077309471000.00
